frame_id,track_count,active_track_ids,arm_velocity,body_velocity,fall_score,approach_velocity,risk_score,fused_score,state,active_rules,persistence_scores
102,3,2;3;1,0.7756,0.9276,0.3801,0.9875,0.3168,0.3168,NORMAL,,"{""[4]"": 0.07433689603222433, ""[1, 4]"": 0.05166534652913402, ""[2, 3]"": 0.3167963921760465, ""[3]"": 0.06125038684129398}"
103,3,2;3;1,0.0000,0.0000,0.3801,0.0000,0.2915,0.2915,NORMAL,,"{""[4]"": 0.06838994434964639, ""[2, 3]"": 0.2914526808019628, ""[3]"": 0.05635035589399047}"
104,3,2;3;1,1.3252,1.6545,0.4059,1.4745,0.2935,0.2935,NORMAL,SUSTAINED_CONTACT,"{""[4]"": 0.06291874880167468, ""[2, 3]"": 0.2935255532355399, ""[3]"": 0.05184232742247123, ""[1, 3]"": 0.019956619951072202}"
105,3,2;3;1,0.0000,0.0000,0.4059,0.0000,0.2700,0.2700,NORMAL,CAMERA_RUSH,"{""[4]"": 0.05788524889754071, ""[2, 3]"": 0.2700435089766967, ""[2]"": 0.1062929874659284}"
106,3,2;3;1,0.7814,1.2520,0.4348,0.7872,0.2484,0.2484,NORMAL,,"{""[4]"": 0.053254428985737456, ""[2, 3]"": 0.24844002825856099, ""[2]"": 0.09778954846865413}"
107,3,2;3;1,0.0000,0.0000,0.4348,0.0000,0.2363,0.2363,NORMAL,CAMERA_RUSH,"{""[2, 3]"": 0.22856482599787611, ""[2]"": 0.2363034336480075}"
108,3,2;3;1,0.9302,1.0567,0.4524,0.8962,0.2174,0.2174,NORMAL,,"{""[2, 3]"": 0.21027963991804605, ""[2]"": 0.2173991589561669}"
109,3,2;3;1,0.0000,0.0000,0.4524,0.0000,0.2000,0.2000,NORMAL,,"{""[2, 3]"": 0.19345726872460237, ""[2]"": 0.20000722623967357}"
110,3,2;3;1,0.8403,0.4846,0.4380,0.4551,0.1840,0.1840,NORMAL,,"{""[2, 3]"": 0.17798068722663418, ""[2]"": 0.1840066481404997}"
111,3,2;3;1,0.0000,0.0000,0.4380,0.0000,0.1693,0.1693,NORMAL,,"{""[2, 3]"": 0.16374223224850346, ""[2]"": 0.1692861162892597}"
112,3,2;3;1,0.8545,0.8797,0.4579,0.8386,0.1557,0.1557,NORMAL,,"{""[2, 3]"": 0.15064285366862318, ""[2]"": 0.15574322698611895}"
113,3,2;3;1,0.0000,0.0000,0.4579,0.0000,0.1433,0.1433,NORMAL,,"{""[2, 3]"": 0.13859142537513333, ""[2]"": 0.14328376882722943}"
